relationship_id,from,to,from_factor_id,to_factor_id,polarity,strength,delay,definition
74,Cultural Heritage Value,Community Perceptions,V66,V64,same,medium,years,Cultural significance builds support through heritage value and community identity that strengthens community connections to fishing traditions.
98,Cultural Values Mapping,Spatial Management,V89,V73,same,medium,years,Cultural significance directly guides closures through heritage value and traditional use that protects culturally important areas and practices.
39,Diatom:Dinoflagellate Ratio,Food Web Structure,V44,V16,opposite,medium,days,Diatom:Dinoflagellate ratio directly affects food web structure by influencing the quality and quantity of primary production available to higher trophic levels.
78,Discard Rates,Mortality Rate,V69,V3,same,medium,days,Discards directly increase fish mortality through post-release survival impacts that reduce population size through unintended fishing mortality.
88,Distribution Channels,Species Price,V79,V76,same,medium,months,Supply chains directly influence pricing through value addition and market access that affects product availability and distribution costs.
25,Domestic Supply,Market Price,V22,V14,opposite,medium,months,Domestic supply directly influences market prices through its effect on total market supply
121,Ecosystem Function,Food Web Structure,V35,V16,same,strong,years,Ecosystem processes shape feeding relationships through trophic dynamics that determine energy flow and predator-prey interactions.
123,Ecosystem Function,Habitat Degradation,V35,V33,opposite,medium,years,Ecosystem processes prevent degradation through resilience that maintains habitat structure and ecosystem function.
122,Ecosystem Function,Primary Productivity,V35,V30,same,medium,months,Ecosystem processes affect production through primary productivity that determines the base of the food web and energy availability.
11,Efficiency,Catch Volume,V10,V7,same,medium,months,Vessel efficiency directly increases catch volumes through improved technology
81,Electronic Monitoring,Compliance Rate,V72,V26,same,medium,months,Monitoring directly improves rule following through verification and accountability that increases compliance with regulations and management measures.
65,Electronic Monitoring,Management Restrictions,V72,V37,same,medium,months,Monitoring data directly shapes regulations through evidence-based decision making that uses scientific information to inform management actions.
55,Employment,Age Structure,V54,V62,same,medium,years,Job opportunities directly affect demographic patterns through labor market participation and migration that influences population distribution and community composition.
49,Employment,Community Economic Dependence,V54,V59,same,strong,months,Employment in the fishery directly affects community economic dependence by providing jobs and income that contribute to local economic activity.
31,Enforcement Level,Compliance Rate,V25,V26,same,medium,months,Enforcement level directly affects compliance rates by influencing the likelihood of detecting and penalizing violations of fishing regulations.
90,Export Markets,Export Value,V81,V56,same,medium,months,International markets directly increase value through market expansion and price discovery that provides access to higher-value markets and diverse buyers.
111,Export Markets,Market Competition,V81,V77,same,medium,months,International trade increases competition through market access that expands the number of suppliers and product alternatives.
110,Export Markets,Species Price,V81,V76,same,strong,months,International demand affects domestic prices through market integration that connects local markets to global price signals and trade flows.
114,Export Value,Community Economic Dependence,V56,V59,same,medium,months,Export earnings support communities through economic benefits that generate income and employment opportunities for local residents.
112,Export Value,Profit Level,V56,V8,same,strong,months,Export markets increase profitability through market expansion that provides access to higher-value customers and diverse market opportunities.
113,Export Value,Species Distribution,V56,V12,same,medium,years,Export opportunities attract investment through market growth that justifies capital expenditure and business expansion.
44,Extreme Weather Events,Fishing Effort,V49,V15,opposite,medium,days,Extreme weather events directly reduce fishing effort by creating unsafe conditions that prevent vessels from operating and limit fishing activities.
54,Financial Performance,Community Perceptions,V57,V64,same,medium,months,Financial performance directly affects community perceptions by influencing the economic benefits that fishing provides to local communities and the industry's social license to operate.
50,Financial Performance,Fisher Wellbeing,V57,V63,same,medium,months,Financial performance directly affects fisher wellbeing by influencing access to healthcare and reducing financial stress that impacts physical and mental health.
71,Fisher Wellbeing,Fishing Effort,V63,V15,same,medium,months,Fisher health directly influences work effectiveness through physical and mental wellbeing that determines capacity to perform fishing operations.
76,Fishing Effort,Catch Per Unit Effort,V15,V68,opposite,medium,days,Effort directly measures stock abundance through catch per unit effort indicators that provide estimates of fish population density.
17,Fishing Effort,Catch Volume,V15,V7,same,medium,days,Fishing effort directly affects catch volumes through the interaction between fishing power and resource availability
75,Fishing Methods,Gear Selectivity,V67,V70,same,medium,years,Fishing techniques directly affect selectivity through gear design and operational methods that determine which species and sizes are caught.
58,Fishing Methods,Management Restrictions,V67,V37,same,medium,years,Fishing techniques directly drive regulations through environmental impact assessment and management response that determines appropriate fishing methods and restrictions.
18,Fishing Mortality,Food Web Structure,V5,V16,opposite,weak,years,Fishing mortality directly affects food web structure by removing key predators and altering trophic interactions between species
6,Fishing Mortality,Stock Biomass,V5,V1,opposite,strong,months,Fishing mortality directly reduces stock biomass by removing individuals from the population
14,Fishing Patterns,Catch Volume,V13,V7,same,medium,days,Strategic fishing patterns directly increase catch volumes by targeting fish aggregations and productive habitats where fish are more abundant and easier to catch.
108,Fleet Capacity,Catch Volume,V55,V7,same,strong,years,Vessel capacity directly increases catches through improved harvesting capability that enables greater fishing power and operational range
109,Fleet Capacity,Species Distribution,V55,V12,same,medium,years,Vessel capacity directly requires investment through capital requirements that fund vessel acquisition
10,Fleet Size,Efficiency,V9,V10,same,medium,years,Fleet size directly affects efficiency through economies of scale and the ability to invest in technological improvements and operational optimization.
107,Fleet Size,Employment in Fishery,V9,V58,same,medium,years,Vessel numbers affect job creation through employment opportunities that generate direct and indirect fishing industry positions.
105,Fleet Size,Fishing Effort,V9,V15,same,strong,years,Vessel numbers directly affect total effort through fleet capacity and efficiency that determines the collective fishing power of the fleet.
66,Fleet Size,Fleet Capacity,V9,V55,same,medium,years,Vessel numbers directly affect total capacity through fleet composition and fishing power that determines the overall fishing capacity of the fleet.
106,Fleet Size,Operating Costs,V9,V53,same,medium,years,Vessel numbers directly affect total costs through economies of scale that influence operational expenses and resource utilization.
73,Food Security Contribution,Domestic Supply,V65,V22,same,medium,months,Fishery production enhances food security through local supply and nutrition that provides access to protein and essential nutrients.
19,Food Web Structure,Predation Rate,V16,V17,same,weak,months,Food web structure directly influences predation rates by determining the availability and diversity of prey species and the strength of predator-prey interactions.
79,Gear Selectivity,Discard Rates,V70,V69,opposite,medium,years,Gear selectivity directly reduces discards through improved targeting and handling that minimizes unwanted catch and improves survival rates.
60,Gear Selectivity,Management Restrictions,V70,V37,opposite,medium,years,Gear selectivity affects regulations through bycatch reduction and management adaptation that determines appropriate gear specifications and restrictions.
69,Gender Composition,Fisher Wellbeing,V61,V63,same,medium,months,Workforce diversity directly affects health outcomes through workplace culture and support systems that influence access to healthcare and workplace safety.
45,Gross Value of Production,Profit Level,V50,V8,same,strong,months,Gross value of production directly influences profit levels through its effect on total revenue and the efficiency of value chain operations.
7,Growth Rate,Stock Biomass,V6,V1,same,medium,months,Growth rates directly affect stock biomass by influencing individual survival rates and reproductive output through size-dependent mortality and fecundity.
84,Harvest Strategy,Catch Limit,V75,V4,opposite,medium,years,Management frameworks directly set catch limits through scientific assessment and precaution that determines sustainable harvest levels based on stock status.
61,Harvest Strategy,Enforcement Level,V75,V25,same,medium,years,Management frameworks directly guide enforcement through policy implementation and compliance monitoring that determines the rules and procedures for regulatory oversight.
33,Illegal Catch,Stock Biomass,V27,V1,opposite,medium,months,Illegal catch directly reduces stock biomass by removing fish outside of management controls and contributing to overexploitation of fish populations.
99,Indigenous Economic Participation,Indigenous Participation,V90,V60,same,medium,years,Economic opportunities directly increase involvement through livelihood benefits that provide income and employment stability for community members.
97,Indigenous Governance,Harvest Strategy,V88,V75,same,medium,years,Indigenous input directly improves management through traditional knowledge integration that enhances decision-making with local ecological understanding.
68,Indigenous Participation,Indigenous Governance,V60,V88,same,medium,years,Indigenous involvement directly improves governance through traditional knowledge integration that enhances management decisions with local ecological knowledge.
104,Indigenous Research Partnerships,Traditional Ecological Knowledge,V95,V86,same,medium,years,Collaborative research directly enhances understanding through knowledge integration that combines scientific methods with traditional ecological knowledge.
30,Investment Level,Catch Volume,V24,V7,same,medium,years,Investment levels directly affect catch volumes by enabling improvements in fishing technology and operational efficiency that increase fishing capacity.
103,Knowledge Transmission,Traditional Ecological Knowledge,V94,V86,same,medium,decade,Knowledge transfer directly preserves wisdom through documentation and teaching that maintains cultural knowledge across generations.
86,Market Competition,Species Price,V77,V76,opposite,medium,months,Competition reduces prices through market pressure and supply alternatives that increase consumer choice and price sensitivity.
89,Market Concentration,Species Price,V80,V76,opposite,medium,years,Market power directly affects pricing through bargaining power and competition that influences price-setting ability and market control.
16,Market Price,Fishing Effort,V14,V15,same,medium,months,Market prices directly influence fishing effort by affecting the economic incentives for fishers to allocate time and resources to fishing activities.
26,Market Price,Import Volume,V14,V21,same,medium,months,Market prices directly influence import volumes by affecting the economic incentives for importing seafood products
3,Mortality Rate,Stock Biomass,V3,V1,opposite,strong,months,Mortality rates directly reduce stock biomass by removing individuals from the population through both natural causes and fishing activities.
46,Net Economic Returns,Fleet Size,V51,V9,same,medium,years,Net economic returns directly affect fleet size by influencing the financial viability of vessel operations and the ability to maintain or expand fishing capacity.
56,Net Economic Returns,Gender Composition,V51,V61,same,medium,years,Financial returns directly influence workforce diversity through employment opportunities and barriers that affect access to fishing industry participation.
57,Observer Coverage,Compliance Rate,V74,V26,same,strong,months,Monitoring directly improves compliance through detection and verification capabilities that increase the likelihood of rule violations being detected and penalized.
83,Observer Coverage,Discard Rates,V74,V69,opposite,medium,months,Monitoring directly reduces discards through accountability and improved handling that encourages better fishing practices and waste reduction.
62,Observer Coverage,Management Restrictions,V74,V37,same,medium,months,Monitoring directly informs regulations through data collection and analysis that provides evidence for management decisions and policy adjustments.
40,Ocean Acidification,Stock Biomass,V45,V1,opposite,strong,decade,Ocean acidification directly affects stock biomass by influencing fish development and survival through physiological stress and impacts on calcification processes.
41,Ocean Currents,Species Distribution,V46,V12,same,medium,years,Ocean currents directly affect species distribution by transporting fish and larvae through advection and dispersal mechanisms that determine their spatial patterns.
12,Ocean Temperature,Species Distribution,V11,V12,same,medium,months,Ocean temperature directly affects species distribution by influencing physiological performance and habitat suitability
53,Operating Costs,Fisher Wellbeing,V53,V63,opposite,medium,months,Operating costs directly affect fisher wellbeing by creating financial stress through reduced profit margins and cash flow constraints that impact personal and family welfare.
48,Operating Costs,Profit Level,V53,V8,opposite,medium,months,Operating costs directly reduce profit levels by increasing the expenses associated with fishing operations and reducing the margin between revenue and costs.
43,Oxygen Levels,Stock Biomass,V48,V1,same,medium,decade,Oxygen levels directly affect stock biomass by influencing fish survival through respiratory stress and habitat compression that limits available habitat.
20,Predation Rate,Recruitment Rate,V17,V2,opposite,weak,months,Predation rates directly affect recruitment by influencing juvenile survival through size-selective mortality and habitat-mediated interactions with predators.
94,Price Volatility,Profit Level,V85,V8,opposite,medium,days,Price volatility directly reduces profitability through risk and uncertainty that complicates business planning and financial stability.
92,Product Substitutability,Species Price,V83,V76,opposite,medium,months,Substitutes directly affect price elasticity through product competition and consumer choice that influences demand responsiveness to price changes.
9,Profit Level,Fleet Size,V8,V9,same,medium,years,Profit levels directly influence fleet size by affecting the economic viability of vessel operations and the ability to invest in new vessels or maintain existing ones.
129,Quota Trading,Economic Performance,V31,V38,same,strong,years,Quota trading directly improves economic performance through market efficiency that enables quota holders to optimize their operations by buying and selling fishing rights based on their comparative advantages.
128,Quota Trading,Fleet Size,V31,V9,opposite,medium,years,Quota trading directly affects fleet structure through market consolidation that enables larger operators to acquire quotas from smaller ones
51,Quota Value,Community Economic Dependence,V23,V59,same,medium,years,Quota values directly affect community economic dependence by determining the wealth generated from fishing rights and the level of local business development.
28,Quota Value,Investment Level,V23,V24,same,medium,years,Quota values directly influence investment levels by determining the expected returns on quota ownership and the value of fishing assets
2,Recruitment Rate,Stock Biomass,V2,V1,same,strong,years,Recruitment success directly increases adult stock biomass as new cohorts join the spawning population after surviving critical life stages and environmental bottlenecks.
101,Sea Country Management,Spatial Management,V92,V73,same,medium,years,Indigenous stewardship directly guides protection through traditional management that applies cultural knowledge to conservation practices.
34,Sea Surface Temperature,Ocean Temperature,V39,V11,same,medium,months,Sea surface temperature directly influences ocean temperature through heat transport mechanisms and ocean circulation patterns that distribute heat through the water column.
38,Southern Annular Mode,Extreme Weather Events,V43,V49,same,medium,months,Southern Annular Mode directly affects extreme weather events by influencing wind patterns and atmospheric circulation that determine storm formation and intensity.
37,Southern Oscillation Index,Ocean Currents,V42,V46,variable,medium,months,Southern Oscillation Index directly influences ocean currents through atmospheric-ocean coupling mechanisms that affect wind patterns and ocean circulation.
64,Spatial Management,Management Restrictions,V73,V37,same,strong,years,Area closures directly create specific rules through spatial management and habitat protection that restrict fishing activities in designated areas.
82,Spatial Management,Stock Biomass,V73,V1,same,medium,years,Protected areas directly help rebuild stocks through reduced fishing pressure and habitat protection that allows populations to grow and reproduce undisturbed.
119,Spatial Stock Depletion,Fishing Patterns,V32,V13,same,medium,months,Depleted areas change fishing behavior through effort reallocation that shifts fishing activity to more productive locations.
120,Spatial Stock Depletion,Spatial Management,V32,V73,same,strong,years,Local depletion drives area protection through management response that implements spatial closures and habitat conservation measures.
118,Spatial Stock Depletion,Stock Biomass,V32,V1,opposite,strong,months,Local depletion reduces total biomass through spatial impacts that decrease fish density and reproductive potential in specific areas.
116,Species Abundance,Catch Per Unit Effort,V34,V68,same,strong,days,Local abundance affects catch rates through resource availability that determines fishing efficiency and catch per unit effort.
117,Species Abundance,Ecosystem Function,V34,V35,same,medium,months,Species abundance affects ecosystem processes through functional roles that maintain ecological interactions and ecosystem stability.
115,Species Abundance,Stock Biomass,V34,V1,same,strong,months,Local abundance indicates population size through direct observation that provides evidence of fish distribution and density patterns.
13,Species Distribution,Fishing Patterns,V12,V13,same,medium,months,Species distribution directly influences fishing patterns by determining the spatial location of fishing effort as fishers follow target species to maintain catch rates.
85,Species Price,Profit Level,V76,V8,same,medium,days,Prices increase profitability through revenue enhancement and market positioning that improves financial returns and business viability.
4,Stock Biomass,Catch Limit,V1,V4,same,medium,months,Stock biomass directly influences catch limits through stock assessment models that calculate maximum sustainable yield based on current population size and reproductive capacity.
27,Stock Biomass,Quota Value,V1,V23,same,medium,years,Stock biomass directly affects quota value by determining the expected future catch potential and security of fishing rights
1,Stock Biomass,Recruitment Rate,V1,V2,same,strong,years,Adult fish populations drive reproductive output through density-dependent fecundity
130,Stock Recovery,Stock Biomass,V18,V1,same,strong,years,Recovery affects population size through stock rebuilding that increases reproductive potential and population growth rates. 
126,Stock Status,Catch Limit,V29,V4,same,strong,months,Stock condition sets catch limits through harvest strategies that determine sustainable catch levels based on stock status.
125,Stock Status,Management Restrictions,V29,V37,same,strong,years,Stock condition drives regulations through adaptive management that adjusts management measures based on resource status.
127,Stock Status,Social License,V29,V36,same,medium,months,Stock health affects public support through resource status that influences community perception of fishery sustainability.
124,Stock Status,Stock Biomass,V29,V1,same,strong,years,Management response affects population size through harvest control that regulates fishing mortality and stock recovery.
22,Technology Adoption,Catchability,V19,V20,same,medium,years,Technology adoption directly improves catchability through improved gear design and fishing methods that increase the effectiveness of fishing operations.
47,Total Factor Productivity,Efficiency,V52,V10,same,medium,years,Total factor productivity directly affects efficiency by influencing how effectively inputs are converted into outputs through technological innovation and operational optimization.
52,Total Factor Productivity,Employment,V52,V54,same,medium,years,Total factor productivity directly affects employment by determining the labor requirements for fishing operations
95,Traditional Ecological Knowledge,Stock Biomass,V86,V1,same,medium,decade,Indigenous knowledge directly aids stock assessment through traditional ecological knowledge that provides historical context and local understanding of fish populations.
100,Traditional Seasonal Indicators,Fishing Effort,V91,V15,same,medium,months,Environmental cues directly guide fishing timing through traditional knowledge that helps predict fish behavior and optimal fishing conditions.
42,Upwelling Intensity,Chlorophyll-a,V47,V41,same,medium,days,Upwelling intensity directly affects chlorophyll-a levels by bringing nutrients to surface waters through vertical mixing that stimulates phytoplankton growth.
91,Value Addition,Species Price,V82,V76,same,medium,days,Processing directly increases product value through value addition and market differentiation that enhances product quality and market appeal.
59,Vessel Capacity,Catch Limit,V71,V4,opposite,medium,years,Fishing power influences catch limits through stock assessment and management precaution that accounts for increased fishing efficiency and capacity.
63,Vessel Capacity,Enforcement Level,V71,V25,same,medium,years,Vessel capacity directly requires oversight through safety and operational management that ensures compliance with technical standards and operational requirements.
80,Vessel Capacity,Fishing Effort,V71,V15,same,medium,years,Vessel size directly increases fishing intensity through improved capacity and efficiency that enables greater fishing effort and coverage.
